Field,Our Data,Annotated Data,Similarity
location,['kanaighat municipality'],"<dinajpur>; <hili-mollabazar road in chhoto dangapara, hakimpur's hili>; <hakimpur>; <rajshahi>; <dinajpur>; <hakimpur>",31
location,"['kharaghoda village', 'tatidah']",<kushtia>; <bakapole area on bheramara-allahrdarga road>; <bheramara>; <khulna>; <kushtia>; <bheramara>,33
location,"['mustofa', 'mansura begum']","<gazipur>; <(chourasta area of gazipur on dhaka-mymensingh highway, dhaka-tangail highway)>; <gazipur>; <dhaka>; <gazipur>",29
location,"['chowgachha', 'palua', 'pashapol']","<cumilla>; <cumilla-sylhet highway at phulgachtala, debidwar upazila>; <debidwar>; <chattogram>; <cumilla>; <debidwar>",37
location,['sumona'],"<dhaka>; <technical intersection, mirpur>; <mirpur>; <dhaka>; <dhaka>",30
location,"['brahmanbaria, cumilla', 'brahmanbaria', 'suhilpur', 'obaidul', 'bijoynagar', 'amodabad', 'satkhira', 'sabikun nahar', 'bahera', 'debhata', 'kulia', 'kaliganj', 'cumilla', 'kutumbapur']",<chuadanga>; <karpsdanga natunpara area>; <damurhuda>; <khulna>; <chuadanga>; <damurhuda>,30
location,"['dinajpur', 'faridpur']",<kushtia>; <shyamnagar market area>; <daulatpur>; <khulna>; <kushtia>; <daulatpur>,29
location,"['makbul', 'kibria', 'jhenaidah']",<bhola>; <meghna river at tulatuli majher char>; <sadar>; <barishal>; <bhola>; <sadar>,30
location,"['nafiz', 'narsingdi']",<sirajganj>; <kaddar intersection near shaheed mansur ali station>; <sadar>; <rajshahi>; <sirajganj>; <sadar>,27
location,"['sherpur', 'nilphamari', 'chonka']",<keraniganj>; <rajendrapur area of south keraniganj>; <south keraniganj>; <dhaka>; <keraniganj>; <keraniganj>,29
location,[],<narayanganj>; <mouchak in siddhirganj upazila of narayanganj>; <siddhirganj>; <dhaka>; <narayanganj>; <dhaka>,0
location,"['chouddagram', 'gunabati']",<narail>; <nabaganga river in narail>; <narail>; <khulna>; <narail>,33
location,"['kaptai', 'elina', 'langadu', 'kaptai lake', 'karatoa']",<jashore>; <amin brick kiln>; <amin brick kiln>; <khulna>; <jashore>,26
location,"['chandaikona', 'roroya', 'sherpur', 'shahjahanpur']",<narail>; <nabaganga river>; <narail>; <khulna>; <narail>; <kalia>,32
location,"['karnaphuli', 'mizan']",<dhaka>; <khilgaon bagicha area>; <khilgaon>; <dhaka>; <dhaka>,22
location,['sreepur'],<cox’s bazar>; <marine drive near himchari police station>; <himchari>; <chattogram>; <cox's bazar>,29
location,"['bangladesh', 'dhaka']",<habiganj>; <dhaka-sylhet highway>; <dhaka-sylhet highway>; <sylhet>; <habiganj>,39
location,"['shohor', 'chuadanga', 'dhaka', 'chattogram', 'rangamati']",<dhaka>; <martyr intellectual graveyard>; <rayerbazar>; <dhaka>; <dhaka>; <dhaka>,36
location,"['naogaon', 'manda']",<rangpur>; <doalipara area of the rangpur-dinajpur highway>; <doalipara>; <rangpur>; <rangpur>; <taraganj>,27
location,['saidabad'],<tangail>; <dapakandi level crossing on bhuapur-tarakandi rail line>; <bhuapur>; <dhaka>; <tangail>; <bhuapur>,33
location,"['dhaka', 'gazipur', 'kadda']",<dhaka>; <elephant road bata signal>; <elephant road>; <dhaka>; <dhaka>,38
location,['gobindaganj'],<dinajpur>; <uchitpur in chirirbandar>; <chirirbandar>; <rangpur>; <dinajpur>,33
location,"['khulna', 'dumuria upazila’s', 'jashore']",<natore>; <chawk tabaria area>; <sadar>; <rajshahi>; <natore>; <sadar>,38
location,"['riyadh', 'dammam']","<jhenaidah>; <(koiargachi, murotola)>; <(sadar, shailkupa)>; <khulna>; <jhenaidah>; <(sadar, shailkupa)>",30
location,"['gazipur', 'mymensingh']",<shariatpur>; <shariatpur's zajira area>; <zajira>; <dhaka>; <shariatpur>; <zajira>,32
location,"['sherpur', 'shahbandegi', 'shyamoli paribahan', 'dinajpur']",<sirajganj>; <chilgachha intersection in sadar upazila>; <sirajganj>; <rajshahi>; <sirajganj>; <saddar>,24
location,"['patnitola', 'mohadebpur']",<gazipur>; <chukkabari area>; <sreepur>; <dhaka>; <gazipur>; <sreepur>,19
location,"['dashuria', 'islamganti', 'dapunia']",<cumilla>; <zaman brick field area>; <boro dharmapur>; <chattogram>; <cumilla>; <lalmai>,24
location,"['siddhirganj', 'sanarpar']",<faridpur>; <mansurabad>; <bhanga>; <dhaka>; <faridpur>; <bhanga>,35
location,"['khilgaon', 'dhaka', 'rampura']",<dhaka>; <jamuna future park area>; <dhaka>; <dhaka>; <dhaka>,43
location,"['dinajpur', 'phulbaria', 'bandarban', 'faruk']",<dhaka>; <judges complex area>; <kakrail>; <dhaka>; <dhaka>,23
location,"['kajla of jatrabari', 'sadekpur']",<dhaka>; <hatirjheel intersection>; <rampura>; <dhaka>; <dhaka>,26
location,"['jhenaidah', 'kaliganj']",<dhaka>; <mohakhali rail gate area>; <mohakhali>; <dhaka>; <dhaka>,40
location,"['jatrabari', 'darikandi', 'daudkandi', 'cumilla', 'taj paribahan’s', 'matuail']","<jahangirnagar university>; <maulana bhasani hall, jahangirnagar university>; <maulana bhasani hall, jahangirnagar university>; <dhaka>; <dhaka>",21
location,"['dhaka', 'nagarkanda', 'kamal matubbar', 'faridpur', 'bhanga', 'bangladesh']","<dinajpur>; <chandpur area, birampur upazila>; <birampur>; <rangpur>; <dinajpur>; <birampur>",33
location,['juktitala'],"<diabari metro rail road, dhaka>; <dhaka>; <dhaka>; <dhaka>",23
location,['sylhet'],"<near kajla bhanga bridge, jatrabari>; <jatrabari>; <dhaka>; <dhaka>",20
location,"['manda', 'bangladesh']",<joypurhat>; <joypurhat-bogura highway in thushi gari mor area>; <kalai>; <rajshahi>; <joypurhat>; <kalai>,30
location,"['kaijuri', 'chattogram', 'banshbaria', 'sitakunda', 'hannan', 'rajshahi', 'panchagarh', 'chapainawabganj']","<dhaka>; <rayerbag area, jatrabari>; <jatrabari>; <dhaka>; <dhaka>; <jatrabari>",29
location,['karnopur'],"<cox's bazar>; <aziznagar-12 bridge area, chattogram-cox's bazar highway>; <chakaria>; <chattogram>; <cox's bazar>; <chakaria>",25
location,"['mohanpur', 'kurkuti', 'manda', 'adamdighi', 'bogura', 'narayanganj', 'naogaon', 'sakoa village']","<natore>; <mougram area, singra upazila>; <singra>; <rajshahi>; <natore>; <singra>",39
location,"['panditpur', 'bhutbhuti']","<pirojpur>; <shankarpasha, pirojpur's sadar upazila>; <sadar>; <barishal>; <pirojpur>; <sadar>",35
location,"['nahid', 'rampura']","<madaripur>; <simana area under kathalbari union, shibchar upazila>; <shibchar>; <dhaka>; <madaripur>; <shibchar>",30
location,"['padua', 'lohagara\xa0upazila', 'bangladesh']","<mymensingh>; <charpara madrasa area, gouripur upazila>; <gouripur>; <mymensingh>; <mymensingh>; <gouripur>",35
location,"['dhaki union', 'yasin', 'mithamoin', 'ghagra', 'dayahati', 'itna', 'kishoreganj']","<cumilla>; <dighirpar area, daudkandi upazila>; <daudkandi>; <chattogram>; <cumilla>; <daudkandi>",29
location,"['naogaon', 'sapahar', 'chapainawabganj', 'bhola']",<dhaka>; <gulistan gpo maingate intersection>; <dhaka>; <dhaka>,26
location,"['karimpur', 'rangamati']","<sylhet>; <companiganj-sylhet road, goainghat upazila>; <goainghat>; <sylhet>; <sylhet>; <goainghat>",36
location,"['mirpur', 'technical']",<munshiganj>; <bangabandhu expressway at shologhar>; <sreenagar>; <dhaka>; <munshiganj>; <sreenagar>,22
location,"['sonargaon', 'momen', 'marwardi']",<dinajpur>; <dinajpur-phulbari road at chuniapara>; <fhulbari>; <rangpur>; <dinajpur>; <fhulbari>,24
location,[sadar upazila],<dhaka>; <dhaka-mawa highway in srinagar hashara area>; <srinagar>; <dhaka>; <dhaka>; <srinagar>,47
location,[],"<dinajpur>; <chandapar area, parbatipur>; <parbatipur>; <rangpur>; <dinajpur>; <parbatipur>",0
location,"['lohagara', 'chakaria', 'harbang', 'chunati']","<habiganj>; <dhaka-sylhet highway in bahubal, near mouchak mohona community centre>; <bahubal>; <sylhet>; <habiganj>; <bahubal>",33
location,"['utkura', 'kaliaganj', 'gariagach village', 'mominpara village', 'gariagach', 'rahela', 'tetulia']",<panchagarh>; <boda-debiganj highway at kalurhat kathari>; <debiganj>; <rangpur>; <panchagarh>; <debiganj>,22
location,"['tejgaon', 'dhaka', 'sitakunda']","<220 km southwest of kolkata, balasore district, odisha>; <balasore>",28
location,"['nirwarispur', 'begumganj upazila']",<naogaon>; <naogaon-rajshahi highway at bagchara>; <mahadebpur>; <rajshahi>; <naogaon>; <mahadebpur>,28
location,"['gazipur', 'tongi']","<sylhet>; <sylhet-dhaka highway at nazir bazar, kutubpur area>; <dakkhin surma>; <sylhet>; <sylhet>; <dakkhin surma>",35
location,[trishal upazila],<dhaka>; <bangladesh>; <bangladesh>,29
location,"['asad', 'mohammadpur']","<dhaka>; <kajla, jatrabari>; <jatrabari>; <dhaka>; <dhaka>; <jatrabari>",30
location,"['sitakunda', 'sonaichhari']",<faridpur>; <dhaka-khulna highway at maligram>; <bhanga>; <dhaka>; <faridpur>; <bhanga>,25
location,['armanitola'],<bogura-rangpur highway at chandihara>; <shibganj>; <rajshahi>; <bogura>; <shibganj>,29
location,"['india', 'bangladesh', 'dhaka']","<chattogram>; <sholoshohor, panchlaish>; <panchlaish>; <chattogram>; <chattogram>; <panchlaish>",38
location,['minhaj'],"<(bogra-naogaon regional highway at murail, bogra-naogaon regional highway at katabaria)>; <adamdighi, shajahanpur>; <rajshahi>; <bogura>; <(adamdighi, shajahanpur)>",40
location,"['mithapakur', 'bogra', 'nilphamari']",<hanif flyover in dhaka’s jatrabari area>; <jatrabari>; <dhaka>; <dhaka>,27
location,['bikrom'],<demra in the city’s jatrabari area>; <jatrabari>; <dhaka>; <dhaka>,30
location,"['rocky', 'kashiadanga']",<sylhet>; <salutikar on sylhet-companigonj road in front of piangul kazi kalimullah high school>; <companiganj>; <sylhet>; <companiganj>,33
location,"['gopalganj', 'barguna', 'cumilla', 'gazipur', 'bijoypasha', 'barishal', 'barera', 'palpara', 'wasi', 'salna', 'naogaon', 'lalbazar', 'south surma', 'chandpur', 'badungpara', 'shamaly']",<narayanganj>; <chashara crossing of narayanganj>; <narayanganj>; <dhaka>; <narayanganj>,29
location,['ullahpara'],<gaibandha>; <golchattar in gaibandha district town>; <gaibandha>; <rangpur>; <gaibandha>; <gaibandha>,31
location,"['tarapur', 'puthia', 'boiragipara', 'tokipur', 'rajshahi']","<chittagong>; <dhaka-chattogram highway in sitakunda upazila, bashbaria area>; <sitakunda>; <chattogram>; <chattogram>; <sitakunda>",25
location,"['sheora', 'kurmitola']","<narayanganj>; <near ptk filling station, siddhirganj>; <siddhirganj>; <dhaka>; <narayanganj>; <siddhirganj>",26
location,['taherpur'],"<bagerhat>; <bagerhat-khulna highway in the piljong area, fakirhat upazila>; <piljong>; <khulna>; <bagerhat>; <fakirhat>",33
location,['manikganj'],<dhaka-mawa expressway at ramerkhola>; <dhaka>,23
location,['rampura'],"<chapainawabganj>; <shibtola area beside sonamasjid highway, chapainawabganj>; <chapainawabganj>; <rajshahi>; <chapainawabganj>; <chapainawabganj>",27
location,['haripur'],<magura>; <dhaka-khulna highway in front of magura sadar hospital>; <magura sadar>; <khulna>; <magura>; <magura sadar>,27
location,['jatrabari'],"<narsingdi>; <(srifulia in shibpur upazila, shimultoli in raipura upazila)>; <(shibpur, raipura)>; <dhaka>; <narsingdi>; <(shibpur, raipura)>",38
location,['jagir'],"<barishal>; <(road adjacent to hazera khatun school in west kaunia, uttar korapur area in jatrabari, barishal)>; <(west kaunia, jatrabari)>; <barishal>; <(west kaunia, jatrabari)>",22
location,['boliarpur'],"<pabna>; <ishwardi-baneshwar road near govt. sara marwari model school and college, ishwardi upazila>; <ishwardi>; <rajshahi>; <pabna>; <ishwardi>",31
location,['jhilotja'],"<chattogram>; <dhaka-chattogram rail track in front of bsrm factory, sonapahar area, mirsarai upazila>; <mirsarai>; <chattogram>; <chattogram>; <mirsarai>",33
location,"['gazipur', 'salna', 'naogaon']","<munshiganj>; <bangabandhu expressway, srinagar upazila>; <srinagar>; <dhaka>; <mushiganj>; <srinagar>",26
location,"['madhukhali', 'faridpur', 'chuadanga', 'chapainawabganj']","<chattogram>; <chattogram-cox’s bazar highway near dream house community centre, satkania upazila>; <satkania>; <chattogram>; <chattogram>; <satkania>",31
location,"['bagharpara', 'jashore', 'magura', 'khajura']","<noakhali>; <daroga intersection adjacent to atkapalia bazar of char jubilee union on sonapur-chairman road, subarnachar upazila>; <subarnachar>; <chittagong>; <noakhali>; <subarnachar>",33
location,[sadar upazila],"<sylhet>; <sylhet-tamabil highway in front of tamabil police outpost, gowainghat upazila>; <gowainghat>; <sylhet>; <sylhet>; <gowainghat>",60
location,[],"<tangail>; <tangail-mymensingh road in chatipara area, kalihati upazila>; <kalihati>; <dhaka>; <tangail>; <kalihati>",0
location,[],<dhaka>; <dhaka's khilkhet>; <khilkhet>; <dhaka>; <khilkhet>,0
location,['chandpur'],"<dhaka>; <under the flyover, opposite of jatrabari kalapatti, jatrabari area>; <jatrabari>; <dhaka>; <jatrabari>",25
location,['dinajpur'],"<bogura>; <namuja-baro mile road in kaura bazar, kalai union, kahalu upazila>; <kahalu>; <rajshahi>; <bogura>; <kahalu>",50
location,['darikandi'],"<kishoreganj>; <all-weather road on the south side of dhaki bridge, dhaki union, mithamoin upazila>; <mithamoin>; <dhaka>; <kishoreganj>; <mithamoin>",38
location,"['jhenaidah', 'chiura', 'chouddagram']","<chattogram>; <bangabandhu tunnel, chattogram>; <karnaphuli>; <chattogram>; <chattogram>; <karnaphuli>",30
location,"['jatrabari', 'narail']","<sylhet>; <sylhet-sunamganj road at temukhi, sylhet district>; <south surma>; <sylhet>; <sylhet>",26
location,"['partex', 'tejgaon industrial', 'kushtia']","<gazipur>; <dhaka-tangail highway in sutrapur area, kaliakair upazila>; <kaliakair>; <dhaka>; <gazipur>; <kaliakair>",30
location,"['samiran', 'chattogram']",<dhaka-mymensingh highway near the navy headquarters>; <dhaka>; <mymensingh>,20
location,['biswanath'],<level crossing near the eco -park in sitakundu upazila>; <chattogram>; <chattogram>,31
location,[senbagh upazila],<haat krishnapur bazar>; <faridpur>; <faridpur>; <faridpur>,29
location,['sharsha'],<in front of gobindaganj eye hospital>; <gobindaganj>; <dhaka>; <gaibandha>; <gobindaganj>,27
location,"['durgapur', 'iv']","<(workshop in city‚äôs tutpara area, shiromony bypass area)>; <khulna>; <cumilla>",39
location,"['kamaliarchar', 'sylhet']",<different national and regional highways>; <dhaka>; <dhaka>,20
location,"['ullapara', 'sardia', 'boalmari', 'faridpur', 'rubel', 'belkuchi']",<pukuria in ghior upazila>; <ghior>; <dhaka>; <manikganj>; <ghior>,18
location,['shahjahanpur'],<small room adjacent to the mosque>; <chandpur>,39
location,"['thakurgaon', 'chhoto', 'khochabari']",<muslimbagh in kamrangirchar>; <dhaka>; <dhaka>,30
location,"['pavel', 'dakhil', 'shamsun', 'badipur', 'shakinur']",<ashura beel in nababganj upazila>; <dinajpur>,29
location,"['gopalganj', 'jakaria']",<kanchpur industrial area of sonargaon upazila>; <sonargaon>; <narayanganj>; <sonargaon>,38
location,"['raipura', 'narsingdi', 'shibpur', 'srifulia', 'efazul', 'narshingdi', 'narsingdi 100-', 'shimultoli', 'kashem', 'arian', 'dolna']",<goran road no. 8 in the city‚äôs khilgaon>; <dhaka>; <dhaka>,23
location,"['pranta hossain', 'balrampur', 'pranta']",<in front of mandarkandi girls high school on mathkhola-katiadi road>; <kishoreganj>; <kishoreganj>; <kishoreganj>,24
location,"['meherpur', 'alukdia', 'kalam']",<roadside ditch in ashulia boro bridge area near bypail-abdullahpur highway>; <savar>; <savar>,32
location,['bashundhara'],<nirwarispur in begumganj upazila>; <begumganj>; <dhaka>; <noakhali>; <begumganj>,40
location,"['jatrabari', '‘asian city']","<(boisamura on dhaka-sylhet highway,  dhaka-sylhet highway at baraitala area)>; <sarail>; <dhaka>; <brahmanbaria>; <sarail>",37
location,"['faridpur', 'sadarpur', 'monikotha']",<in front of kurmitola general hospital on airport road in the capital>; <dhaka>; <dhaka>,32
location,"['shyamsundar', 'mirzapur', 'khalukhai']",<chattogram-cox‚äôs bazar highway around the chunuti area of lohagara>; <lohagara>; <chattogram>; <chattogram>; <lohagara>,32
location,"['panam city', 'narayanganj', 'sonargaon', 'dariyakandi', 'gazipur']",<chattogram-cox's bazar highwayat bhaer dighi village>; <patiya>; <chattogram>; <chattogram>; <patiya>,25
location,"['dhunat', 'taltala', 'sobuj', 'india', 'nadiya', 'thakurgaon', 'balapara', 'shariatpur']",<chalanbeel>; <chatmohar>; <pabna>; <chatmohar>,32
location,[],<faridpur village>; <faridpur>; <faridpur>; <faridpur>,0
location,['kendua'],<shiromoni badamtola>; <khulna>; <khulna>,32
location,"['salimpur', 'kalapara nilganj', 'mahipur', 'kalapara', 'kuakata']",<in front of akij tobacco limited.>; <dhaka>; <manikganj>,35
location,[],<sitakunda>; <chattogram>; <chattogram>; <sitakunda>,0
location,"['chattogram', 'rangamati', 'bangladesh', 'bhola']",<inside the police box>; <dhaka>; <dhaka>,29
location,['kurigram'],<in the city‚äôs mirpur zoo road area>; <mirpur>; <dhaka>; <dhaka>; <mirpur>,25
location,"['chuadanga', 'nehalpur', 'bakchara', 'mohamamd']",<at the anchored vessel at bijoynagar ghat in karnaphuli river in the port city>; <bijoynagar>; <chattogram>; <chattogram>; <bijoynagar>,31
location,"['sitakundu', 'alamgir']",<brick field in chouddagram upazila's narayanpur>; <jaldhaka>; <dhaka>; <cumilla>; <jaldhaka>,33
location,"['jummar ghar', 'gobindaganj', 'mithapukur', 'rangpur', 'lalmonirhat']",<slum in the city‚äôs shekhertek area>; <dhaka>; <dhaka>,22
location,"['kajikanda', 'harirampur', 'manikganj', 'korpai', 'takurtakur', 'gopchor village', 'daudkandi', 'kushiara', 'bikrampur', 'munshiganj']",<no 88 government primary school>; <dhaka>; <manikganj>,34
location,"['dhaka', 'bangladesh', 'sirajgan', 'bhola', 'bagerhat', 'jhenaidah', 'faridpur', 'netrakona', 'ullapara', 'rubel', 'shimla', 'hamidul', 'sundarganj', 'mithapukur', 'sirajganj', 'borhanuddin', 'mahipur', 'sherpur', 'pirojpur', 'kotchandpur', 'kotchadpur', 'chuadanga', 'khalispur', 'dhudli', 'khulna', 'challisha', 'bamonmoha', 'netrokona', 'osmaninagar', 'khursheda begum', 'berigaon']",<homna upazila>; <homna>; <dhaka>; <cumilla>; <homna>,34
location,"['mirsharai', 'khoiyachora', 'thakurgaon', 'nizampur']","<(punsoi village in kaliganj upazila, at a water body at nasaran in sadar upazila, kasba upazila, khasnagar village in bancharampur upazila)>; <kaliganj>; <dhaka>; <brahmanbaria>; <kaliganj>",26
location,[],<bimanbandar road>; <sylhet>; <sylhet>,0
location,"['louhajang', 'uttara', 'usa']",<on the rail tracks at sholashahar in the port city>; <chattogram>; <chattogram>,30
location,['chatmohor'],<hitirjheel lake>; <dhaka>; <dhaka>,23
location,"['kadompur', 'keraniganj']",<pond at rudragaon in faridganj upazila>; <faridganj>; <chandpur>; <faridganj>,46
location,['kaddar'],<haidari colony>; <chattogram>; <chattogram>,40
location,"['munshiganj', 'srinagar', 'narayanganj']",<akhteruzzaman flyover in city‚äôs sholosohor area>; <chattogram>; <chattogram>,30
location,"['chapriganj', 'gobindaganj']",<united hospital>; <dhaka>; <kurigram>,38
location,[],<jatrabari intersection>; <dhaka>; <dhaka>,0
location,"['bathuli', 'bhogobanpur', 'paturia', 'dinesh']",<in front of foy‚äôs lake gate>; <nabinagar>; <chattogram>; <brahmanbaria>; <nabinagar>,24
location,"['sonatunia', 'rampal', 'ferdous', 'katakhali']",<kamlapur railway station>; <dhaka>; <dhaka>,37
location,['doalipara'],<ditch on rajbari-kushtia highway at durgapur in sadar upazila>; <durgapur>; <rajbari>; <durgapur>,38
location,[pirganj upazila],<amin jute mill area>; <chattogram>; <chattogram>,41
location,"['rajshahi', 'kanchanpara', 'nilphamari', 'cumilla', 'boalia']",<mohammadpur housing area>; <mohammadpur>; <dhaka>; <dhaka>; <mohammadpur>,34
location,"['faridpur', 'nawapara', 'bhanga', 'pachuria', 'rajbaria', 'nagarkanda']",<dhanmondi lake>; <mohammadpur>; <dhaka>; <dhaka>; <mohammadpur>,33
location,"['sholoshohor', 'chattogram', 'nilphamari']",<beside kathalbari college>; <kurigram sadar>; <rangpur>; <kurigram>; <kurigram sadar>,30
location,"['sreerampur', 'manda', 'sabail village', 'narail']",<airport road>; <mirpur>; <dhaka>; <dhaka>; <mirpur>,32
location,"['shariatpur', 'kashipur']",<jatrabari intersection>; <dhaka>; <dhaka>,30
location,"['louhajang', 'zahangir']",<bekipul bazar>; <chirirbandar>; <dinajpur>; <chirirbandar>,27
location,"['faridpur', 'chattogram']",<khord-khalispur>; <jibannagar>; <chuadanga>; <jibannagar>,36
location,['sabalia'],<kenalghat area of dauladia>; <khulna>; <jashore>,36
location,"['khulna', 'barishal city', 'leguna', 'thanchi', 'mymensingh', 'faridpur', 'lalbagh', 'dhaka', 'rakib', 'khulna city', 'chattogram', 'anwara', 'sitakunda', 'karnaphuli', 'iftekhar', 'shitolpur', 'bangladesh']",<buriganga river at sadarghat>; <kaliganj>; <barishal>; <barishal>; <kaliganj>,17
location,"['nimanur', 'rubina']",<crossing the tracks>; <dhaka>; <gazipur>,30
location,[],<gazipur>; <dhaka-tangail highway in gazipur‚äôs kaliakair>; <faridpur>; <dhaka>; <faridpur>; <faridpur>,0
location,[],<lotadighi village>; <jashore>,0
location,['dhaka'],<near nezampur rail station>; <nachole>; <nachole>,13
location,"['bazar', 'shibchar', 'khanakandi', 'kamran']",<joypur village of minirampur upazila>,24
location,[],<near ujirpur beribadh>; <shibganj>; <shibganj>,0
location,['dhaka'],,0
location,"['jhenaidah', 'kotchandpur', 'kotchadpur', 'chuadanga', 'khalispur']",<carpark adjacent to stadium>,38
location,[],<busy intersection>,0
location,"['sherpur', 'sribordi', 'jhenaigati', 'dinajpur']",<west of dallas' city downtown>,21
location,[],<western salvation road in um kadada on the border between north darfur and west kordofan state>,0
location,"['shahbagh', 'bashundhara', 'sylhet']",<nizhneangarsk>,33
location,[sadar upazila],"<on interstate 405 in the city's san fernando valley area, los angeles>",27
location,"['chandrapara', 'daibaggohati']",<in a ditch in lake hallie>,29
location,[sadar upazila],<natonin in mountain province>,21
location,"['madarganj', 'junail sutarpara', 'zahidul']",<5 miles (8 kilometers) northeast of victoria>,21
location,['manisha'],"<on interstate 75 about a mile (1.6 kilometers) south of alachua, near gainesville>",27
location,[],<town of vohburg an der donau>,0
location,['dhaka'],"<in the lagoon, about 160 yards away from the runway>; <dhaka>; <dhaka>",56
location,['bangladesh'],<the central mountains>,29
location,"['rampal', 'haldibunia village', 'bhagabazar']","<(a toll station in the northwestern province of gansu, china's yangtze river in the western city of chongqing)>",20
location,"['dinajpur', 'munshiganj', 'shologhar', 'sreenagar', 'shafa', 'uchitpur', 'uttam', 'mahanta', 'mirzapur', 'nawabganj', 'kabiraj', 'jagadishpur', 'naldanga']",<village of sarmada near the turkish border>,25
location,"['jashore', 'monjurhossain', 'tilagar', 'rubel']",<java sea>,40
location,"['kaliganj', 'gazipur', 'dhaka']",<gorge in kohistan district>,38
location,"['gazipur', 'nahid']","<mbuba, democratic republic of congo>",26
location,"['namo mingachha', 'nasratpur']",<palu>,33
location,"['adamdighi', 'mostaque', 'shahjahanpur', 'katabaria', 'zakia']",<haiti>,29
location,"['shibchar', 'khulna', 'simana']",<eastern china>,40
location,"['chakripara', 'joypurhat', 'mymensingh', 'gabtala', 'kachua', 'jhenaidah', 'shailkupa', 'sakhipur', 'chattogram', 'md siam', 'sitakunda', 'cumilla', 'jhalkati']",<itogon town in benguet province>,18
location,"['atukura', 'habiganj']",<u.s. air base in ramstein>,26
location,"['south bashabo', 'sabujbagh']","<the airport in kahului, hawaii>",35
location,"['netrakona', 'laxmiganj', 'mirzapur village', 'atpara', 'tania', 'hogla', 'gomostapur']","<interstate 8 in el cajon, calif., east of san diego>",23
location,[],"<salmaniya, a neighborhood of bahrain's capital, manama>",0
